,Status,Dept_Short,End_Year,Edu_Short,畢業滿_年
4125,畢業,四技會資,106,日四技,5
4126,畢業,四技會資,106,日四技,3
4127,畢業,四技會資,106,日四技,1
4128,畢業,四技會資,106,日四技,5
4129,畢業,四技會資,106,日四技,3
4130,畢業,四技會資,106,日四技,1
4131,畢業,四技會資,106,日四技,3
4132,畢業,四技財金,106,日四技,3
4133,畢業,四技財金,106,日四技,1
4134,畢業,四技財金,106,日四技,3
4135,畢業,四技財金,106,日四技,3
4136,畢業,四技財金,106,日四技,1
4137,畢業,四技財金,106,日四技,1
4138,畢業,四技財金,106,日四技,1
4139,畢業,四技財金,106,日四技,1
4140,畢業,四技財金,106,日四技,3
4141,畢業,四技財金,106,日四技,1
4142,畢業,四技財金,106,日四技,3
4143,畢業,四技財金,106,日四技,1
4144,畢業,四技財金,106,日四技,1
4145,畢業,四技財金,106,日四技,5
4146,畢業,四技財金,106,日四技,3
4147,畢業,四技財金,106,日四技,3
4148,畢業,四技財金,106,日四技,1
4149,畢業,四技財金,106,日四技,3
4150,畢業,四技財金,106,日四技,5
4151,畢業,四技財金,106,日四技,1
4152,畢業,四技財金,106,日四技,1
4153,畢業,四技財金,106,日四技,3
4154,畢業,四技財金,106,日四技,3
4155,畢業,四技財金,106,日四技,1
4156,畢業,四技財金,106,日四技,3
4157,畢業,四技財金,106,日四技,1
4158,畢業,四技財金,106,日四技,3
4159,畢業,四技財金,106,日四技,1
4160,畢業,四技財金,106,日四技,5
4161,畢業,四技財金,106,日四技,5
4162,畢業,四技財金,106,日四技,3
4163,畢業,四技財金,106,日四技,1
4164,畢業,四技財金,106,日四技,3
4165,畢業,四技財金,106,日四技,5
4166,畢業,四技財金,106,日四技,3
4167,畢業,四技財金,106,日四技,1
4168,畢業,四技財金,106,日四技,3
4169,畢業,四技財金,106,日四技,3
4170,畢業,四技財金,106,日四技,5
4171,畢業,四技財金,107,日四技,3
4172,畢業,四技財金,107,日四技,1
4173,畢業,四技財金,106,日四技,3
4174,畢業,四技財金,106,日四技,1
4175,畢業,四技財金,107,日四技,1
4176,畢業,四技財金,107,日四技,3
4177,畢業,四技財金,106,日四技,3
4178,畢業,四技財金,106,日四技,1
4179,畢業,四技財金,106,日四技,3
4180,畢業,四技財金,106,日四技,1
4181,畢業,四技財金,106,日四技,5
4182,畢業,四技財金,106,日四技,3
4183,畢業,四技財金,106,日四技,1
4184,畢業,四技財金,106,日四技,5
4185,畢業,四技財金,106,日四技,3
4186,畢業,四技財金,106,日四技,1
4187,畢業,四技財金,107,日四技,1
4188,畢業,四技財金,106,日四技,1
4189,畢業,四技財金,106,日四技,3
4190,畢業,四技財金,106,日四技,5
4191,畢業,四技財金,106,日四技,1
4192,畢業,四技財金,106,日四技,5
4193,畢業,四技財金,106,日四技,3
4194,畢業,四技財稅,106,日四技,1
4195,畢業,四技財稅,106,日四技,1
4196,畢業,四技財稅,106,日四技,3
4197,畢業,四技財稅,106,日四技,3
4198,畢業,四技財稅,106,日四技,1
4199,畢業,四技財稅,106,日四技,5
4200,畢業,四技財稅,106,日四技,1
4201,畢業,四技財稅,106,日四技,1
4202,畢業,四技財稅,106,日四技,5
4203,畢業,四技財稅,106,日四技,1
4204,畢業,四技財稅,106,日四技,1
4205,畢業,四技財稅,106,日四技,5
4206,畢業,四技財稅,106,日四技,3
4207,畢業,四技財稅,106,日四技,1
4208,畢業,四技財稅,106,日四技,1
4209,畢業,四技財稅,106,日四技,5
4210,畢業,四技財稅,106,日四技,1
4211,畢業,四技財稅,106,日四技,3
